"nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Legal Studies","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Toledo","BAM NUTUAL","Finance",NA,NA,NA,NA,"0",NA,NA,"0","accepted fulltime job","Yes","Yes",59564.644549763,"Ohio"
1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Humanities","Humanities","Asian","Female","3.50 - 4.00",202120,"2021","0","Columbus","COHATCH","General Management",NA,NA,NA,"Second Time Founders","2",NA,"La Soupe","1","accepted fulltime job","Yes","Yes",40000,"OH"
1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Accountancy","Accountancy","White","Male","3.00 - 3.49",202020,"2020","0",NA,"PWC",NA,NA,NA,NA,"Bauer Hockey","2",NA,"IHS Markit",NA,"accepted fulltime job",NA,NA,62372.5576923077,NA
1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","White","Male","3.00 - 3.49",201920,"2019","0","Columbus","ABERCROMBIE & FITCH","General Management",NA,NA,NA,"Nouveau Vie, LLC.","2",NA,"Abercrombie & Fitch","1","accepted fulltime job","Yes","Yes",63500,"Ohio"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",202020,"2020","0","Cleveland","MCDONALD'S","Consulting Marketing / Sales Operations / Procurement",NA,NA,"Victoria's Secret","CNN / Turner Broadcasting","4","Oxford Medical Aesthetics and Laser","Hylant","4","accepted fulltime job","Yes","Yes",68000,"OH"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Economics","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","Chicago","EY","Analytics
 Consulting",NA,NA,NA,"T. Marzetti","3","Ernst & Young","Whitehorn Partners","1","accepted fulltime job","Yes","Yes",58000,"Ohio / USA"
1,"Accountancy","none",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","Cleveland","EY","Accounting",NA,NA,NA,"TravelCenters of America (TA)","3","Ernst and Young (EY)","TravelCenters of America (TA)","1","accepted fulltime job","Yes","Yes",53000,"OH"
1,"Finance","none",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,"Accountancy","Accountancy","White","Female","3.50 - 4.00",201920,"2019","Summa Cum Laude","New York City","JP MOGAN CHASE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"accepted fulltime job","Yes","Yes",85000,"NY"
1,"Supply Chain & Operations Mgmt","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","Augusta","TEXTRON","Operations / Procurement",NA,NA,NA,"Textron Specialized Vehicles","1",NA,NA,"1","accepted fulltime job","Yes","Yes",58000,"GA"
1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","Chicago","EY","Accounting",NA,NA,NA,"ITW Food Equitment Group","1",NA,NA,"1","accepted fulltime job","Yes","Yes",62000,"IL"
